tourney_id,tourney_year,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
1998-W-SL-AUS-01A-1998,1998,Australian Open,Hard,128,G,1998-01-19,089,200748,,,Venus Williams,R,185,USA,,16,1474,200033,,,Serena Williams,R,175,USA,,53,487,7-6(4) 6-1,3,R64
1998-W-WT-ITA-01A-1998,1998,Rome,Clay,56,W,1998-05-04,052,200748,9,,Venus Williams,R,185,USA,,9,2333,200033,,,Serena Williams,R,175,USA,,31,792,6-4 6-2,3,QF
1999-W-WT-USA-03A-1999,1999,Key Biscayne,Hard,96,W,1999-03-18,095,200748,6,,Venus Williams,R,185,USA,,6,2987,200033,16,,Serena Williams,R,175,USA,,16,1816,6-1 4-6 6-4,3,F
2000-W-SL-GBR-01A-2000,2000,Wimbledon,Grass,128,G,2000-06-26,125,200748,5,,Venus Williams,R,185,USA,,5,2647,200033,8,,Serena Williams,R,175,USA,,8,2254,6-2 7-6,3,SF
2001-W-T1-USA-01A-2001,2001,Indian Wells,Hard,96,T1,2001-03-08,094,200033,7,,Serena Williams,R,175,USA,,10,1957,200748,3,,Venus Williams,R,185,USA,,3,4207,W/O,3,SF
2001-W-SL-USA-01A-2001,2001,US Open,Hard,128,G,2001-08-27,127,200748,4,,Venus Williams,R,185,USA,,4,4433,200033,10,,Serena Williams,R,175,USA,,10,2125,6-2 6-4,3,F
2002-W-T1-USA-02A-2002,2002,Miami,Hard,96,T1,2002-03-18,094,200033,8,,Serena Williams,R,175,USA,,9,2793,200748,2,,Venus Williams,R,185,USA,,2,4616,6-2 6-2,3,SF
2002-W-SL-FRA-01A-2002,2002,French Open,Clay,128,G,2002-05-27,127,200033,3,,Serena Williams,R,175,USA,,3,4036,200748,2,,Venus Williams,R,185,USA,,2,4591,7-5 6-3,3,F
2002-W-SL-GBR-01A-2002,2002,Wimbledon,Grass,128,G,2002-06-24,127,200033,2,,Serena Williams,R,175,USA,,2,4926,200748,1,,Venus Williams,R,185,USA,,1,5205,7-6(4) 6-3,3,F
2002-W-SL-USA-01A-2002,2002,US Open,Hard,128,G,2002-08-26,127,200033,1,,Serena Williams,R,175,USA,,1,5322,200748,2,,Venus Williams,R,185,USA,,2,5067,6-4 6-3,3,F
2003-W-SL-AUS-01A-2003,2003,Australian Open,Hard,128,G,2003-01-13,127,200033,1,,Serena Williams,R,175,USA,,1,5941,200748,2,,Venus Williams,R,185,USA,,2,4942,7-6(4) 3-6 6-4,3,F
2003-W-SL-GBR-01A-2003,2003,Wimbledon,Grass,128,G,2003-06-23,127,200033,1,,Serena Williams,R,175,USA,,1,6006,200748,4,,Venus Williams,R,185,USA,,4,4028,4-6 6-4 6-2,3,F
2005-W-T1-USA-02A-2005,2005,Miami,Hard,96,T1,2005-03-23,091,200748,8,,Venus Williams,R,185,USA,,9,2520,200033,3,,Serena Williams,R,175,USA,,4,4535,6-1 7-6(8),3,QF
2005-W-SL-USA-01A-2005,2005,US Open,Hard,128,G,2005-08-29,116,200748,10,,Venus Williams,R,185,USA,,10,2658,200033,8,,Serena Williams,R,175,USA,,8,2845,7-6(5) 6-2,3,R16
2008-W-T2-IND-01A-2008,2008,Bangalore,Hard,28,T2,2008-03-03,026,200033,3,,Serena Williams,R,175,USA,,11,2022,200748,2,,Venus Williams,R,185,USA,,7,2646,6-3 3-6 7-6(4),3,SF
2008-W-SL-GBR-01A-2008,2008,Wimbledon,Grass,128,G,2008-06-23,127,200748,7,,Venus Williams,R,185,USA,,7,2606,200033,6,,Serena Williams,R,175,USA,,6,2676,7-5 6-4,3,F
2008-W-SL-USA-01A-2008,2008,US Open,Hard,128,G,2008-08-25,122,200033,4,,Serena Williams,R,175,USA,,3,3341,200748,7,,Venus Williams,R,185,USA,,8,2586,7-6(6) 7-6(7),3,QF
2008-W-WT-QAT-01A-2008,2008,WTA Tour Championships,Hard,4,W,2008-11-03,11,200748,7,,Venus Williams,R,185,USA,,8,2522,200033,3,,Serena Williams,R,175,USA,,3,3716,5-7 6-1 6-0,3,RR
2009-W-PR-UAE-01A-2009,2009,Dubai,Hard,56,P,2009-02-16,053,200748,6,,Venus Williams,R,185,USA,,6,6144,200033,1,,Serena Williams,R,175,USA,,1,9632,6-1 2-6 7-6(3),3,SF
2009-W-PM-USA-02A-2009,2009,Miami,Hard,96,PM,2009-03-23,093,200033,1,,Serena Williams,R,175,USA,,1,9432,200748,5,,Venus Williams,R,185,USA,,6,6842,6-4 3-6 6-3,3,SF
2009-W-SL-GBR-01A-2009,2009,Wimbledon,Grass,128,G,2009-06-22,127,200033,2,,Serena Williams,R,175,USA,,2,8158,200748,3,,Venus Williams,R,185,USA,,3,7217,7-6(3) 6-2,3,F
2009-W-WT-QAT-01A-2009,2009,WTA Tour Championships,Hard,4,W,2009-10-26,9,200033,2,,Serena Williams,R,175,USA,,2,7576,200748,7,,Venus Williams,R,185,USA,,7,4397,5-7 6-4 7-6(4),3,RR
2009-W-WT-QAT-01A-2009,2009,WTA Tour Championships,Hard,4,W,2009-10-26,003,200033,2,,Serena Williams,R,175,USA,,2,7576,200748,7,,Venus Williams,R,185,USA,,7,4397,6-2 7-6(4),3,F
2013-W-PR-USA-01A-2013,2013,Charleston,Clay,56,P,2013-04-01,053,200033,1,,Serena Williams,R,175,USA,,1,11115,200748,5,,Venus Williams,R,185,USA,,24,1770,6-1 6-2,3,SF
2014-W-PR-CAN-01A-2014,2014,Canadian Open,Hard,56,P,2014-08-04,053,200748,,,Venus Williams,R,185,USA,,26,1825,200033,1,,Serena Williams,R,175,USA,,1,9700,6-7(2) 6-2 6-3,3,SF
2015-W-SL-GBR-01A-2015,2015,Wimbledon,Grass,128,G,2015-06-29,113,200033,1,,Serena Williams,R,175,USA,,1,11291,200748,16,,Venus Williams,R,185,USA,,16,2586,6-4 6-3,3,R16
2015-W-SL-USA-01A-2015,2015,US Open,Hard,128,G,2015-08-31,121,200033,1,,Serena Williams,R,175,USA,,1,12721,200748,23,,Venus Williams,R,185,USA,,23,2072,6-2 1-6 6-3,3,QF
2017-580,2017,Australian Open,Hard,128,G,2017-01-16,226,200033,2,,Serena Williams,R,175,USA,,2,7080,200748,13,,Venus Williams,R,185,USA,,17,2240,6-4 6-4,3,F
,2018,Indian Wells,Hard,96,T1,2018-03-05,,,8,,Venus Williams,R,185,USA,,,,,,,Serena Williams,R,175,USA,,,,6-3 6-4,,R32
