tourney_id,tourney_year,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
2004-W-T1-USA-02A-2004,2004,Miami,Hard,96,T1,2004-03-24,081,200033,1,,Serena Williams,R,175,USA,,6,2584,201345,17,,Maria Sharapova,R,,RUS,,23,1221,6-4 6-3,3,R16
2004-W-SL-GBR-01A-2004,2004,Wimbledon,Grass,128,G,2004-06-21,127,201345,13,,Maria Sharapova,R,,RUS,,15,1654,200033,1,,Serena Williams,R,175,USA,,10,2055,6-1 6-4,3,F
2004-W-WT-USA-02A-2004,2004,WTA Tour Championships,Hard,4,W,2004-11-10,003,201345,6,,Maria Sharapova,R,,RUS,,6,2902,200033,7,,Serena Williams,R,175,USA,,8,2597,4-6 6-2 6-4,3,F
2005-W-SL-AUS-01A-2005,2005,Australian Open,Hard,128,G,2005-01-17,126,200033,7,,Serena Williams,R,175,USA,,7,3128,201345,4,,Maria Sharapova,R,,RUS,,4,3536,2-6 7-5 8-6,3,SF
2007-W-SL-AUS-01A-2007,2007,Australian Open,Hard,128,G,2007-01-15,127,200033,,,Serena Williams,R,175,USA,,81,331,201345,1,,Maria Sharapova,R,,RUS,,2,3532,6-1 6-2,3,F
2007-W-T1-USA-02A-2007,2007,Miami,Hard,96,T1,2007-03-19,081,200033,13,,Serena Williams,R,175,USA,,18,1269,201345,1,,Maria Sharapova,R,,RUS,,2,3564,6-1 6-1,3,R16
2008-W-T1-USA-03A-2008,2008,Charleston,Clay,56,T1,2008-04-14,052,200033,5,,Serena Williams,R,175,USA,,9,2296,201345,2,,Maria Sharapova,R,,RUS,,4,3876,7-5 4-6 6-1,3,QF
2010-W-SL-GBR-01A-2010,2010,Wimbledon,Grass,128,G,2010-06-21,113,200033,1,,Serena Williams,R,175,USA,,1,8475,201345,16,,Maria Sharapova,R,,RUS,,17,3080,7-6(9) 6-4,3,R16
2011-W-PR-USA-02A-2011,2011,Stanford,Hard,28,P,2011-07-25,024,200033,,,Serena Williams,R,175,USA,,169,340,201345,2,,Maria Sharapova,R,,RUS,,5,6141,6-1 6-3,3,QF
2012-W-PM-ESP-01A-2012,2012,Madrid,Clay,64,PM,2012-05-07,060,200033,9,,Serena Williams,R,175,USA,,9,4300,201345,2,,Maria Sharapova,R,,RUS,,2,8260,6-1 6-3,3,QF
2012-W-OL-GBR-01A-2012,2012,Olympic London,Grass,64,O,2012-07-30,063,200033,4,,Serena Williams,R,175,USA,,4,7360,201345,3,,Maria Sharapova,R,,RUS,,3,8370,6-0 6-1,3,F
2012-W-WT-TUR-01A-2012,2012,WTA Championships,Hard,4,W,2012-10-22,003,200033,3,,Serena Williams,R,175,USA,,3,7900,201345,2,,Maria Sharapova,R,,RUS,,2,9115,6-4 6-3,3,F
2013-W-PR-QAT-01A-2013,2013,Doha,Hard,56,P,2013-02-11,054,200033,2,,Serena Williams,R,175,USA,,2,9970,201345,3,,Maria Sharapova,R,,RUS,,3,9545,6-3 6-2,3,SF
2013-W-PM-USA-02A-2013,2013,Miami,Hard,96,PM,2013-03-18,095,200033,1,,Serena Williams,R,175,USA,,1,10365,201345,3,,Maria Sharapova,R,,RUS,,2,10015,4-6 6-3 6-0,3,F
2013-W-PM-ESP-01A-2013,2013,Madrid,Clay,64,PM,2013-05-06,063,200033,1,,Serena Williams,R,175,USA,,1,11115,201345,2,,Maria Sharapova,R,,RUS,,2,10240,6-1 6-4,3,F
2013-W-SL-FRA-01A-2013,2013,French Open,Clay,128,G,2013-05-27,127,200033,1,,Serena Williams,R,175,USA,,1,11620,201345,2,,Maria Sharapova,R,,RUS,,2,10015,6-4 6-4,3,F
2014-W-PR-AUS-01A-2014,2014,Brisbane International,Hard,30,P,2013-12-30,027,200033,1,,Serena Williams,R,175,USA,,1,13260,201345,3,,Maria Sharapova,R,,RUS,,4,5891,6-2 7-6(7),3,SF
2014-W-PM-USA-02A-2014,2014,Miami,Hard,96,PM,2014-03-17,093,200033,1,,Serena Williams,R,175,USA,,1,12660,201345,4,,Maria Sharapova,R,,RUS,,7,4271,6-4 6-3,3,SF
2015-W-SL-AUS-01A-2015,2015,Australian Open,Hard,128,G,2015-01-19,127,200033,1,,Serena Williams,R,175,USA,,1,8016,201345,2,,Maria Sharapova,R,,RUS,,2,7335,6-3 7-6(5),3,F
2015-W-SL-GBR-01A-2015,2015,Wimbledon,Grass,128,G,2015-06-29,125,200033,1,,Serena Williams,R,175,USA,,1,11291,201345,4,,Maria Sharapova,R,,RUS,,4,5950,6-2 6-4,3,SF
2016-580,2016,Australian Open,Hard,128,G,2016-01-18,220,200033,1,,Serena Williams,R,175,USA,,1,9945,201345,5,,Maria Sharapova,R,,RUS,,5,4542,6-4 6-1,3,
,2018,French Open,Hard,128,G,2016-01-18,220,200033,28,,Maria Sharapova,R,175,RUS,,1,9945,201345,,,Serena Williams,R,,USA,,5,4542,w/o,3,R16
