tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
1995-W-WT-CAN-02A-1995,Canadian Open,Carpet,32,W,1995-10-30T00:00:00.000,013,200717,7,,Anne Miller,R,,USA,,149,10,200033,,WC,Serena Williams,R,175,USA,,,,6-1 6-1,3,Q1
1997-W-WT-USA-02A-1997,Indian Wells,Hard,56,W,1997-03-07T00:00:00.000,006,200021,,,Alexia Dechaume Balleret,R,,FRA,,87,279,200033,,WC,Serena Williams,R,175,USA,,,,6-4 6-0,3,Q1
1997-W-WT-USA-07A-1997,Manhattan Beach,Hard,28,W,1997-08-04T00:00:00.000,026,200027,6,,Magui Serna,L,,ESP,,54,477,200033,,WC,Serena Williams,R,175,USA,,,,7-6 4-6 6-3,3,Q3
1997-W-WT-USA-07A-1997,Manhattan Beach,Hard,28,W,1997-08-04T00:00:00.000,019,200033,,WC,Serena Williams,R,175,USA,,,,200009,3,,Tamarine Tanasugarn,R,165,THA,,44,586,3-6 6-2 6-3,3,Q2
1997-W-WT-USA-07A-1997,Manhattan Beach,Hard,28,W,1997-08-04T00:00:00.000,006,200033,,WC,Serena Williams,R,175,USA,,,,201746,,WC,Amanda Basica,U,,USA,,755,5,6-1 6-4,3,Q1
1997-W-WT-SUI-01A-1997,Zurich,Hard,28,W,1997-10-12T00:00:00.000,015,200033,,WC,Serena Williams,R,175,USA,,,,200678,,,Gloria Pizzichini,R,,ITA,,88,312,6-2 6-4,3,Q1
1997-W-WT-SUI-01A-1997,Zurich,Hard,28,W,1997-10-12T00:00:00.000,024,200080,2,,Dominique Monami,R,,BEL,,29,871,200033,,WC,Serena Williams,R,175,USA,,,,6-2 6-4,3,Q2
1997-W-WT-RUS-01A-1997,Kremlin Cup,Carpet,28,W,1997-10-27T00:00:00.000,001,200660,,,Kimberly Po Messerli,R,,USA,,22,1244,200033,,Q,Serena Williams,R,175,USA,,448,23,6-3 7-6,3,R32
1997-W-WT-RUS-01A-1997,Kremlin Cup,Carpet,28,W,1997-10-27T00:00:00.000,018,200033,,,Serena Williams,R,175,USA,,448,23,200084,5,,Asa Svensson,R,,SWE,,46,580,6-2 6-3,3,Q2
1997-W-WT-RUS-01A-1997,Kremlin Cup,Carpet,28,W,1997-10-27T00:00:00.000,024,200033,,,Serena Williams,R,175,USA,,448,23,200027,3,,Magui Serna,L,,ESP,,44,614,6-0 7-6,3,Q3
1997-W-WT-RUS-01A-1997,Kremlin Cup,Carpet,28,W,1997-10-27T00:00:00.000,009,200033,,,Serena Williams,R,175,USA,,448,23,200772,,WC,Anastasia Myskina,R,174,RUS,,619,11,6-0 6-4,3,Q1
1997-W-WT-USA-09A-1997,Chicago,Carpet,28,W,1997-11-03T00:00:00.000,024,200033,,WC,Serena Williams,R,175,USA,,304,54,200652,2,,Monica Seles,L,,USA,,4,3294,4-6 6-1 6-1,3,QF
1997-W-WT-USA-09A-1997,Chicago,Carpet,28,W,1997-11-03T00:00:00.000,019,200033,,WC,Serena Williams,R,175,USA,,304,54,200096,5,,Mary Pierce,R,178,FRA,,7,2400,6-3 7-6,3,R16
1997-W-WT-USA-09A-1997,Chicago,Carpet,28,W,1997-11-03T00:00:00.000,026,200128,3,,Lindsay Davenport,R,189,USA,,5,3248,200033,,WC,Serena Williams,R,175,USA,,304,54,6-4 6-4,3,SF
1997-W-WT-USA-09A-1997,Chicago,Carpet,28,W,1997-11-03T00:00:00.000,011,200033,,WC,Serena Williams,R,175,USA,,304,54,200048,,,Elena Likhovtseva,R,,RUS,,27,970,6-3 7-5,3,R32
1998-W-WT-AUS-03A-1998,Sydney,Hard,28,W,1998-01-11T00:00:00.000,026,200017,5,,Arantxa Sanchez Vicario,R,,ESP,,9,2317,200033,,Q,Serena Williams,R,175,USA,,96,257,6-2 6-1,3,SF
