ranking_date,ranking,ranking_points,tours,player_id,first_name,last_name,hand,birthdate,country
1997-10-20,453,23,15,200033,Serena,Williams,R,1981-09-26,USA
1997-10-27,448,23,15,200033,Serena,Williams,R,1981-09-26,USA
1997-11-03,304,54,15,200033,Serena,Williams,R,1981-09-26,USA
1997-11-10,102,257,15,200033,Serena,Williams,R,1981-09-26,USA
1997-11-17,100,257,15,200033,Serena,Williams,R,1981-09-26,USA
1997-11-24,99,257,15,200033,Serena,Williams,R,1981-09-26,USA
1997-12-01,99,257,15,200033,Serena,Williams,R,1981-09-26,USA
1997-12-08,99,257,15,200033,Serena,Williams,R,1981-09-26,USA
1997-12-15,99,257,15,200033,Serena,Williams,R,1981-09-26,USA
1997-12-22,101,257,15,200033,Serena,Williams,R,1981-09-26,USA
1997-12-29,101,257,15,200033,Serena,Williams,R,1981-09-26,USA
1998-01-01,101,257,15,200033,Serena,Williams,R,1981-09-26,USA
1998-01-05,97,257,15,200033,Serena,Williams,R,1981-09-26,USA
1998-01-12,96,257,15,200033,Serena,Williams,R,1981-09-26,USA
1998-01-19,53,487,15,200033,Serena,Williams,R,1981-09-26,USA
1998-01-26,48,487,15,200033,Serena,Williams,R,1981-09-26,USA
1998-02-02,42,599,15,200033,Serena,Williams,R,1981-09-26,USA
1998-02-09,41,599,15,200033,Serena,Williams,R,1981-09-26,USA
1998-02-16,41,599,15,200033,Serena,Williams,R,1981-09-26,USA
1998-02-23,42,599,15,200033,Serena,Williams,R,1981-09-26,USA
1998-03-02,39,639,15,200033,Serena,Williams,R,1981-09-26,USA
1998-03-09,39,639,15,200033,Serena,Williams,R,1981-09-26,USA
1998-03-16,40,638,15,200033,Serena,Williams,R,1981-09-26,USA
1998-03-23,40,638,15,200033,Serena,Williams,R,1981-09-26,USA
1998-03-30,30,792,15,200033,Serena,Williams,R,1981-09-26,USA
1998-04-06,31,792,15,200033,Serena,Williams,R,1981-09-26,USA
1998-04-13,31,792,15,200033,Serena,Williams,R,1981-09-26,USA
