winner_name,percent_returnpt_won,percent_servept_won,winner_ioc,Sum_Sum_w_1stWon,Sum_Sum_w_2ndWon,Sum_Sum_w_svpt,Sum_Sum_l_svpt,Sum_Sum_l_1stWon,Sum_Sum_l_2ndWon
Zuzana Ondraskova,0.43596059113300495,0.4838709677419355,CZE,871,299,2418,2436,936,438
Zuzana Kucova,0.41130604288499023,0.4917936694021102,SVK,599,240,1706,1539,649,257
Zuleykha Safarova,,,AZE,,,,,,
Zulema Zelaya,,,HON,,,,,,
Zsofia Susanyi,,,HUN,,,,,,
Zsofia Gubacsi,0.37894736842105264,0.48031496062992124,HUN,45,16,127,95,47,12
Zoe Gwen Scandalis,0.1935483870967742,0.2702702702702703,USA,8,2,37,31,18,7
Zi Yan,0.43930473787496493,0.5251546946462201,CHN,1387,565,3717,3567,1405,595
Zi Jun Yang,,,HKG,,,,,,
Zhaoxuan Yang,0.43007915567282323,0.5229591836734694,CHN,156,49,392,379,150,66
Zhamilia Duisheeva,,,KGZ,,,,,,
Zeel Desai,0.37735849056603776,0.4406779661016949,IND,18,8,59,53,25,8
Zarina Diyas,0.45077561050529874,0.5535634908875389,KAZ,2754,982,6749,6511,2436,1140
Zarah Razafimahatratra,,,MAD,,,,,,
Zarah De Silva,,,BER,,,,,,
Zaineb El Houari,,,MAR,,,,,,
Yvonne Neuwirth,0.3283582089552239,0.5573770491803278,AUT,17,17,61,67,36,9
Yvonne Meusburger,0.4607582097121846,0.512455963764469,AUT,3112,961,7948,7887,2914,1339
Yvonne Doyle,,,IRL,,,,,,
Yuxuan Zhang,0.455535390199637,0.5250431778929189,CHN,210,94,579,551,207,93
Yus Syazlin Nabila Binti Yusri,,,MAS,,,,,,
Yurika Sema,0.38074398249452956,0.5152224824355972,JPN,173,47,427,457,179,104
Yung Jan Chan,0.44126804415510895,0.5206255055270963,TPE,2782,1080,7418,7066,2757,1191
Yun Ling Ng,,,SIN,,,,,,
Yuliya Beygelzimer,0.4378737541528239,0.5176470588235295,UKR,573,219,1530,1505,578,268
Yuliana Lizarazo,0.4574468085106383,0.4734042553191489,COL,61,28,188,188,68,34
Yuliana Fedak,0.4226480836236934,0.5102880658436214,UKR,1137,475,3159,2870,1175,482
Yulia Putintseva,0.44049994748450794,0.544973544973545,KAZ,3775,1478,9639,9521,3723,1604
Yulia Klimchenko,,,KGZ,,,,,,
Yulia Fedossova,0.3928944618599791,0.5261569416498993,FRA,350,173,994,957,406,175
Yuka Yoshida,0.375,0.4307692307692308,JPN,15,13,65,56,20,15
