tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
2004-W-SL-USA-01A-2004,US Open,Hard,128,G,20040830,123,200077,8,,Jennifer Capriati,R,170,USA,28.4216290212,8,2414,200033,3,,Serena Williams,R,175,USA,22.9267624914,11,1995,2-6 6-4 6-4,3,QF
2004-W-T2-USA-01A-2004,Amelia Island,Clay,56,T2,20040405,055,200128,4,,Lindsay Davenport,R,189,USA,27.8247775496,4,2943,200065,3,,Amelie Mauresmo,R,175,FRA,24.7529089665,3,3173,6-4 6-4,3,F
2004-W-T1-GER-01A-2004,Berlin,Clay,56,T1,20040503,054,200065,2,,Amelie Mauresmo,R,175,FRA,24.8295687885,3,3167,200077,6,,Jennifer Capriati,R,170,USA,28.0958247775,8,2216,6-2 6-0,3,SF
2004-W-T2-USA-02A-2004,Stanford,Hard,28,T2,20040712,027,200128,2,,Lindsay Davenport,R,189,USA,28.0930869268,5,3297,200748,1,,Venus Williams,R,185,USA,24.0684462697,15,1640,7-6(4) 5-7 7-6(4),3,F
2004-W-T2-CHN-01A-2004,Beijing,Hard,28,T2,20040920,013,200033,1,,Serena Williams,R,175,USA,22.984257358,10,2273,201336,,,Dinara Safina,R,182,RUS,18.4010951403,60,583,6-4 3-6 6-3,3,R16
2004-W-T2-AUS-01A-2004,Sydney,Hard,28,T2,20040112,025,200003,1,,Justine Henin,R,167,BEL,21.6153319644,1,6603,200128,4,,Lindsay Davenport,R,189,USA,27.5947980835,5,2770,W/O,3,SF
2005-W-SL-GBR-01A-2005,Wimbledon,Grass,128,G,20050620,097,200128,1,,Lindsay Davenport,R,189,USA,29.0321697467,1,5247,201336,30,,Dinara Safina,R,182,RUS,19.1485284052,32,973,6-2 6-1,3,R32
2005-W-SL-GBR-01A-2005,Wimbledon,Grass,128,G,20050620,113,200128,1,,Lindsay Davenport,R,189,USA,29.0321697467,1,5247,200079,15,,Kim Clijsters,R,,BEL,22.0342231348,13,1958,6-3 6-7(4) 6-3,3,R16
2005-W-SL-GBR-01A-2005,Wimbledon,Grass,128,G,20050620,116,200772,9,,Anastasia Myskina,R,174,RUS,23.9507186858,10,2343,200108,6,,Elena Dementieva,R,180,RUS,23.6796714579,5,3087,1-6 7-6(9) 7-5,3,R16
2005-W-WT-USA-01A-2005,WTA Tour Championships,Hard,4,W,20051107,003,200065,4,,Amelie Mauresmo,R,175,FRA,26.3436002738,4,3662,200096,5,,Mary Pierce,R,178,FRA,30.8117727584,5,3184,5-7 7-6(3) 6-4,3,F
2002-W-WT-USA-01A-2002,WTA Tour Championships,Hard,16,W,20021106,013,200033,1,,Serena Williams,R,175,USA,21.106091718,1,5596,200077,3,,Jennifer Capriati,R,170,USA,26.6009582478,3,3520,2-6 6-4 6-4,3,SF
2002-W-T4-USA-01A-2002,Sarasota,Clay,32,T4,20020401,023,200772,,,Anastasia Myskina,R,174,RUS,20.7310061602,36,880,200096,,WC,Mary Pierce,R,178,FRA,27.2087611225,295,66,6-4 3-6 7-6(4),3,R16
2003-W-SL-USA-01A-2003,US Open,Hard,128,G,20030825,121,200079,1,,Kim Clijsters,R,,BEL,20.2135523614,1,6039,200065,5,,Amelie Mauresmo,R,175,FRA,24.1396303901,6,2695,6-1 6-4,3,QF
2003-W-T2-UAE-01A-2003,Dubai,Hard,28,T2,20030217,025,200003,1,,Justine Henin,R,167,BEL,20.7145790554,4,3283,200077,3,,Jennifer Capriati,R,170,USA,26.8884325804,6,2790,7-5 4-6 6-4,3,SF
2003-W-T1-GER-01A-2003,Berlin,Clay,56,T1,20030505,055,200003,3,,Justine Henin,R,167,BEL,20.9253935661,4,3910,200079,1,,Kim Clijsters,R,,BEL,19.9069130732,3,4312,6-4 4-6 7-5,3,F
2003-W-T1-ITA-01A-2003,Rome,Clay,56,T1,20030512,047,200772,8,,Anastasia Myskina,R,174,RUS,21.8425735797,11,2234,201320,,,Svetlana Kuznetsova,R,174,RUS,17.8726899384,41,835,6-4 7-5,3,R16
2001-W-SL-GBR-01A-2001,Wimbledon,Grass,128,G,20010625,114,200003,8,,Justine Henin,R,167,BEL,19.0663928816,9,2113,200081,18,,Anke Huber,R,,GER,26.5571526352,21,1372,4-6 6-2 6-2,3,R16
2001-W-T2-USA-06A-2001,New Haven,Hard,28,T2,20010819,021,200128,1,,Lindsay Davenport,R,189,USA,25.1991786448,3,4544,200065,6,,Amelie Mauresmo,R,175,FRA,22.1273100616,8,2480,6-4 6-4,3,QF
2001-W-T2-USA-06A-2001,New Haven,Hard,28,T2,20010819,027,200748,3,WC,Venus Williams,R,185,USA,21.1745379877,4,4342,200128,1,,Lindsay Davenport,R,189,USA,25.1991786448,3,4544,7-6(6) 6-4,3,F
2001-W-T2-GER-03A-2001,Filderstadt,Hard,28,T2,20011008,023,200003,6,,Justine Henin,R,167,BEL,19.3538672142,7,2704,200081,,,Anke Huber,R,,GER,26.8446269678,20,1263,6-7(4) 6-2 7-5,3,QF
2001-W-T1-RUS-01A-2001,Moscow,Carpet,28,T1,20011001,021,200108,8,,Elena Dementieva,R,180,RUS,19.961670089,13,1610,200001,1,,Martina Hingis,R,170,SUI,21.0020533881,1,5256,6-2 6-2,3,QF
2001-W-WT-GER-01A-2001,WTA Tour Championships,Hard,16,W,20011030,015,200033,7,,Serena Williams,R,175,USA,20.090349076,10,2501,200128,2,,Lindsay Davenport,R,189,USA,25.3908281999,2,4901,W/O,3,F
2002-W-T2-AUS-01A-2002,Sydney,Hard,28,T2,20020106,008,200049,,,Conchita Martinez,R,170,ESP,29.7275838467,39,811,200108,,,Elena Dementieva,R,180,RUS,20.2299794661,15,1576,6-4 3-6 6-1,3,R32
2002-W-T1-GER-01A-2002,Berlin,Clay,56,T1,20020506,031,200017,13,,Arantxa Sanchez Vicario,R,,ESP,30.3819301848,17,1337,200049,,,Conchita Martinez,R,170,ESP,30.0533880903,45,761,6-1 6-3,3,R32
2002-W-T1-GER-01A-2002,Berlin,Clay,56,T1,20020506,053,200003,5,,Justine Henin,R,167,BEL,19.9288158795,8,3112,200077,1,,Jennifer Capriati,R,170,USA,26.1026694045,2,4553,5-7 6-2 6-1,3,SF
2002-W-T1-ITA-01A-2002,Rome,Clay,56,T1,20020513,048,200077,2,,Jennifer Capriati,R,170,USA,26.12183436,2,4449,200096,,,Mary Pierce,R,178,FRA,27.3237508556,172,175,6-0 6-0,3,R16
2002-W-T2-GER-02A-2002,Leipzig,Carpet,28,T2,20020923,026,200772,6,,Anastasia Myskina,R,174,RUS,21.2101300479,12,1878,200079,4,,Kim Clijsters,R,,BEL,19.2936344969,8,2827,6-4 5-7 7-6(3),3,SF
1975-W-SL-FRA-01A-1975,French Open,Clay,64,G,19750602,063,200259,1,,Chris Evert,R,,USA,,,,200293,2,,Martina Navratilova,L,173,USA,,,,2-6 6-2 6-1,3,F
2005-W-T1-GER-01A-2005,Berlin,Clay,56,T1,20050502,031,200079,11,,Kim Clijsters,R,,BEL,21.9000684463,17,1506,201336,,,Dinara Safina,R,182,RUS,19.0143737166,36,841,7-5 6-2,3,R32
2005-W-T2-GER-01A-2005,Filderstadt,Hard,28,T2,20051003,014,200772,8,,Anastasia Myskina,R,174,RUS,24.2381930185,12,2266,201336,,,Dinara Safina,R,182,RUS,19.4360027379,23,1172,7-6(6) 6-7(3) 7-5,3,R16
2005-W-T1-SUI-01A-2005,Zurich,Hard,28,T1,20051017,025,200128,1,,Lindsay Davenport,R,189,USA,29.3579739904,3,4396,200772,7,,Anastasia Myskina,R,174,RUS,24.2765229295,12,1826,6-0 6-4,3,SF
2005-W-WT-USA-01A-2005,WTA Tour Championships,Hard,4,W,20051107,12,200096,5,,Mary Pierce,R,178,FRA,30.8117727584,5,3184,200108,8,,Elena Dementieva,R,180,RUS,24.0629705681,7,2748,6-2 6-3,3,RR
2006-W-T2-QAT-01A-2006,Doha,Hard,28,T2,20060227,022,200001,,WC,Martina Hingis,R,170,SUI,25.4099931554,44,495,201320,6,,Svetlana Kuznetsova,R,174,RUS,20.6707734428,14,1146,7-6(7) 6-2,3,QF
2006-W-T1-USA-02A-2006,Miami,Hard,96,T1,20060320,056,201345,4,,Maria Sharapova,R,,RUS,18.9185489391,4,2753,201419,,,Na Li,R,172,CHN,24.0602327173,60,402,6-2 6-4,3,R64
2006-W-SL-FRA-01A-2006,French Open,Clay,128,G,20060529,126,200003,5,,Justine Henin,R,167,BEL,23.9917864476,5,2408,200079,2,,Kim Clijsters,R,,BEL,22.9733059548,2,3048,6-3 6-2,3,SF
2006-W-T2-GBR-01A-2006,Eastbourne,Grass,28,T2,20060619,020,200079,2,,Kim Clijsters,R,,BEL,23.0308008214,2,3113,201329,,,Vera Zvonareva,R,172,RUS,21.7796030116,47,446,3-0 RET,3,R16
2006-W-SL-USA-01A-2006,US Open,Hard,128,G,20060828,108,200108,4,,Elena Dementieva,R,180,RUS,24.8678986995,5,2167,201329,33,,Vera Zvonareva,R,172,RUS,21.9712525667,34,627,7-5 6-3,3,R32
