winner_name
Steffi Graf
Martina Navratilova
Chris Evert
Serena Williams
Monica Seles
Justine Henin
Martina Hingis
Kim Clijsters
Maria Sharapova
Lindsay Davenport
Gabriela Sabatini
Tracy Austin
Venus Williams
Hana Mandlikova
Na Li
Victoria Azarenka
Arantxa Sanchez Vicario
Angelique Kerber
Jana Novotna
Amelie Mauresmo
Caroline Wozniacki
Conchita Martinez
Jennifer Capriati
Agnieszka Radwanska
Pam Shriver
Zina Garrison
Petra Kvitova
Simona Halep
Mary Joe Fernandez
Ana Ivanovic
Jelena Jankovic
Mary Pierce
Elena Dementieva
Dinara Safina
Svetlana Kuznetsova
