country	player	startdate	enddate	consecutive	total	birthday	retired
USA	Chris Evert	Nov 3, 1975	Apr 25, 1976	25	25	19541221	T
AUS	Evonne Goolagong Cawley	Apr 26, 1976	May 9, 1976	2	2	19510731	T
USA	Chris Evert (2)	May 10, 1976	Jul 9, 1978	113	138	19541221	T
USA	Martina Navratilova	Jul 10, 1978	Jan 13, 1979	26	26	19561018	T
USA	Chris Evert (3)	Jan 14, 1979	Jan 27, 1979	2	140	19541221	T
USA	Martina Navratilova (2)	Jan 28, 1979	Feb 24, 1979	4	30	19561018	T
USA	Chris Evert (4)	Feb 25, 1979	Apr 15, 1979	7	147	19541221	T
USA	Martina Navratilova (3)	Apr 16, 1979	Jun 24, 1979	10	40	19561018	T
USA	Chris Evert (5)	Jun 25, 1979	Sep 9, 1979	11	158	19541221	T
USA	Martina Navratilova (4)	Sep 10, 1979	Apr 6, 1980	31	71	19561018	T
USA	Tracy Austin	Apr 7, 1980	Apr 20, 1980	2	2	19621212	T
USA	Martina Navratilova (5)	Apr 21, 1980	Jul 6, 1980	11	82	19561018	T
USA	Tracy Austin (2)	Jul 7, 1980	Nov 17, 1980	19	21	19621212	T
USA	Chris Evert (6)	Nov 18, 1980	May 2, 1982	76	234	19541221	T
USA	Martina Navratilova (6)	May 3, 1982	May 16, 1982	2	84	19561018	T
USA	Chris Evert (7)	May 17, 1982	Jun 13, 1982	4	238	19541221	T
USA	Martina Navratilova (7)	Jun 14, 1982	Jun 9, 1985	156	240	19561018	T
USA	Chris Evert (8)	Jun 10, 1985	Oct 13, 1985	18	256	19541221	T
USA	Martina Navratilova (8)	Oct 14, 1985	Oct 27, 1985	2	242	19561018	T
USA	Chris Evert (9)	Oct 28, 1985	Nov 24, 1985	4	260	19541221	T
USA	Martina Navratilova (9)	Nov 25, 1985	Aug 16, 1987	90	332	19561018	T
GER	Steffi Graf	Aug 17, 1987	Mar 10, 1991	186	186	19690614	T
YUG	Monica Seles	Mar 11, 1991	Aug 4, 1991	21	21	19731202	T
GER	Steffi Graf (2)	Aug 5, 1991	Aug 11, 1991	1	187	19690614	T
YUG	Monica Seles (2)	Aug 12, 1991	Aug 18, 1991	1	22	19731202	T
GER	Steffi Graf (3)	Aug 19, 1991	Sep 8, 1991	3	190	19690614	T
YUG	Monica Seles (3)	Sep 9, 1991	Jun 6, 1993	91	113	19731202	T
GER	Steffi Graf (4)	Jun 7, 1993	Feb 5, 1995	87	277	19690614	T
ESP	Arantxa Sánchez Vicario	Feb 6, 1995	Feb 19, 1995	2	2	19711218	T
GER	Steffi Graf (5)	Feb 20, 1995	Feb 26, 1995	1	278	19690614	T
ESP	Arantxa Sánchez Vicario (2)	Feb 27, 1995	Apr 9, 1995	6	8	19711218	T
