ranking_date,ranking,ranking_points,tours,player_id,first_name,last_name,hand,birthdate,country
2018-02-12T00:00:00.000,4,5690,22,202469,Garbine,Muguruza,R,1993-10-08T00:00:00.000,ESP
2018-02-12T00:00:00.000,5,5445,20,201662,Karolina,Pliskova,R,1992-03-21T00:00:00.000,CZE
2018-02-12T00:00:00.000,8,4277,15,200748,Venus,Williams,R,1980-06-17T00:00:00.000,USA
2018-02-12T00:00:00.000,9,3031,21,201493,Angelique,Kerber,L,1988-01-18T00:00:00.000,GER
2018-02-12T00:00:00.000,41,1246,10,201345,Maria,Sharapova,R,1987-04-19T00:00:00.000,RUS
2018-02-12T00:00:00.000,207,270,5,201458,Victoria,Azarenka,R,1989-07-31T00:00:00.000,BLR
2018-02-12T00:00:00.000,235,235,15,201347,Jelena,Jankovic,R,1985-02-28T00:00:00.000,SRB
2018-02-12T00:00:00.000,1,7965,23,201496,Caroline,Wozniacki,R,1990-07-11T00:00:00.000,DEN
2018-02-12T00:00:00.000,2,7616,17,201594,Simona,Halep,R,1991-09-27T00:00:00.000,ROU
2018-02-05T00:00:00.000,4,5690,22,202469,Garbine,Muguruza,R,1993-10-08T00:00:00.000,ESP
2018-02-05T00:00:00.000,5,5445,20,201662,Karolina,Pliskova,R,1992-03-21T00:00:00.000,CZE
2018-02-05T00:00:00.000,8,4277,15,200748,Venus,Williams,R,1980-06-17T00:00:00.000,USA
2018-02-05T00:00:00.000,9,3031,21,201493,Angelique,Kerber,L,1988-01-18T00:00:00.000,GER
2018-02-05T00:00:00.000,41,1246,10,201345,Maria,Sharapova,R,1987-04-19T00:00:00.000,RUS
2018-02-05T00:00:00.000,207,270,5,201458,Victoria,Azarenka,R,1989-07-31T00:00:00.000,BLR
2018-02-05T00:00:00.000,235,235,15,201347,Jelena,Jankovic,R,1985-02-28T00:00:00.000,SRB
2018-02-05T00:00:00.000,1,7965,23,201496,Caroline,Wozniacki,R,1990-07-11T00:00:00.000,DEN
2018-02-05T00:00:00.000,2,7616,17,201594,Simona,Halep,R,1991-09-27T00:00:00.000,ROU
2018-01-29T00:00:00.000,4,5690,22,202469,Garbine,Muguruza,R,1993-10-08T00:00:00.000,ESP
2018-01-29T00:00:00.000,5,5445,20,201662,Karolina,Pliskova,R,1992-03-21T00:00:00.000,CZE
2018-01-29T00:00:00.000,8,4278,16,200748,Venus,Williams,R,1980-06-17T00:00:00.000,USA
2018-01-29T00:00:00.000,9,3031,21,201493,Angelique,Kerber,L,1988-01-18T00:00:00.000,GER
